annonce_id,title,price,location,surface,rooms,baths,link,city,neighborhood,price_meter,price_category
16,Vente Appartement 3 pièces de 81 m2 à Marrakech,780000,"Appartements dans Marrakech, Mabrouka",81,2,1,https://www.avito.ma/fr/mabrouka/appartements/Vente_Appartement_3_pi%C3%A8ces_de_81_m2_%C3%A0_Marrakech_57689998.htm,Marrakech,Mabrouka,9629,Medium
17,Appartement 3 chambres à 2min de Casanearshore,780000,"Appartements dans Casablanca, Sidi Maarouf",70,3,1,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_3_chambres_%C3%A0_2min_de_Casanearshore_57828086.htm,Casablanca,Sidi Maarouf,11142,Medium
18,Vente Appartement 3 pièces de 73 m2 à Casablanca,600000,"Appartements dans Casablanca, Errahma",73,2,2,https://www.avito.ma/fr/errahma/appartements/Vente_Appartement_3_pi%C3%A8ces_de_73_m2_%C3%A0_Casablanca_57689237.htm,Casablanca,Errahma,8219,Medium
19,Appartement à vendre 199 m² à Boulevard Zerktouni,3800000,"Appartements dans Casablanca, Maarif",199,3,3,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_199_m%C2%B2_%C3%A0_Boulevard_Zerktouni_57706141.htm,Casablanca,Maarif,19095,High
20,CMN-SI-1877 - Appartement à vendre à Bourgogne Est,1050000,"Appartements dans Casablanca, Bourgogne",76,2,1,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1877___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_Est_57328148.htm,Casablanca,Bourgogne,13815,High
21,Studio 59m² quartier Bachkou - GARDEN TADDART,1000000,"Appartements dans Casablanca, Bachkou",59,1,2,https://www.avito.ma/fr/bachkou/appartements/Studio_59m%C2%B2_quartier_Bachkou___GARDEN_TADDART_57624293.htm,Casablanca,Bachkou,16949,High
22,Appartement Ensoleillé 123m² au Quartier Maarif,1500000,"Appartements dans Casablanca, Maârif Extension",123,3,2,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_Ensoleill%C3%A9_123m%C2%B2_au_Quartier_Maarif_57834935.htm,Casablanca,Maârif Extension,12195,High
23,Appartement à vendre 70 m² à Kénitra,340000,"Appartements dans Kénitra, Bir Rami",70,2,1,https://www.avito.ma/fr/bir_rami/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_K%C3%A9nitra_57768102.htm,Kénitra,Bir Rami,4857,Low
24,Appartement à vendre 90 m² à Bir Rami Kénitra,570000,"Appartements dans Kénitra, Bir Rami",90,3,2,https://www.avito.ma/fr/bir_rami/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_Bir_Rami_K%C3%A9nitra_57780048.htm,Kénitra,Bir Rami,6333,Medium
25,Appartement 56 m2 avec piscine à Guéliz,896000,"Appartements dans Marrakech, Guéliz",56,2,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_56_m2_avec_piscine_%C3%A0_Gu%C3%A9liz_46529671.htm,Marrakech,Guéliz,16000,Medium
26,CMN-MA-2470 - Appartement à vendre à Les Hôpitaux,1450000,"Appartements dans Casablanca, Quartier des Hôpitaux",117,3,1,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/CMN_MA_2470___Appartement_%C3%A0_vendre_%C3%A0_Les_H%C3%B4pitaux_57340348.htm,Casablanca,Quartier des Hôpitaux,12393,High
55,Appartement 2 façades le vallon,870000,"Appartements dans Kénitra, Seyad",100,3,2,https://www.avito.ma/fr/seyad/appartements/Appartement_2_fa%C3%A7ades_le_vallon_56766244.htm,Kénitra,Seyad,8700,Medium
27,Appartement 97m Maarif Ex Socrate,1180000,"Appartements dans Casablanca, Maârif Extension",97,2,2,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_97m_Maarif_Ex_Socrate_57608873.htm,Casablanca,Maârif Extension,12164,High
28,Appartement à vendre 84 m² à Kénitra,670000,"Appartements dans Kénitra, Seyad",84,3,2,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_84_m%C2%B2_%C3%A0_K%C3%A9nitra_57768269.htm,Kénitra,Seyad,7976,Medium
29,Appartement à vendre 81m2 habitable 55m2 balcon 26m2,1150000,"Appartements dans Casablanca, Quartier des Hôpitaux",81,2,1,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Appartement_%C3%A0_vendre_81m2_habitable_55m2_balcon_26m2_55477465.htm,Casablanca,Quartier des Hôpitaux,14197,High
30,Appartement à vendre 90 m² à Kénitra,570000,"Appartements dans Kénitra, Seyad",90,2,2,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_K%C3%A9nitra_57768270.htm,Kénitra,Seyad,6333,Medium
31,Appartement à vendre 78 m² à Kénitra,550000,"Appartements dans Kénitra, Seyad",78,2,1,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_K%C3%A9nitra_57422405.htm,Kénitra,Seyad,7051,Medium
32,Appartement meublé à vendre Hay Azdihar,560000,"Appartements dans Marrakech, Hay Izdihar",60,2,1,https://www.avito.ma/fr/hay_izdihar/appartements/Appartement_meubl%C3%A9_%C3%A0_vendre_Hay_Azdihar_57758375.htm,Marrakech,Hay Izdihar,9333,Medium
33,Studio témoin 57 m2 vendables - Palmier-1er étage,1250000,"Appartements dans Casablanca, Palmier",59,1,1,https://www.avito.ma/fr/palmier/appartements/Studio_t%C3%A9moin_57_m2_vendables___Palmier_1er_%C3%A9tage_57820909.htm,Casablanca,Palmier,21186,High
34,Appartement à vendre 58 m² à Casablanca,800000,"Appartements dans Casablanca, Quartier des Hôpitaux",63,1,1,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Appartement_%C3%A0_vendre_58_m%C2%B2_%C3%A0_Casablanca_57503861.htm,Casablanca,Quartier des Hôpitaux,12698,Medium
35,Appartement à vendre,380000,"Appartements dans Had Soualem, Toute la ville",65,2,1,https://www.avito.ma/fr/had_soualem/appartements/Appartement_%C3%A0_vendre_56854344.htm,Had Soualem,Toute la ville,5846,Low
36,Appartement Chouka au quartier Lovallon Kénitra,670000,"Appartements dans Kénitra, Seyad",83,3,2,https://www.avito.ma/fr/seyad/appartements/Appartement_Chouka_au_quartier_Lovallon_K%C3%A9nitra_57647908.htm,Kénitra,Seyad,8072,Medium
37,Exclusivité bel appartement vue mer,3230000,"Appartements dans Casablanca, Aïn Diab",140,3,3,https://www.avito.ma/fr/a%C3%AFn_diab/appartements/Exclusivit%C3%A9_bel_appartement_vue_mer_57635797.htm,Casablanca,Aïn Diab,23071,High
38,Appartement à vendre - 2CH - 86 m² - PALMIER,1660000,"Appartements dans Casablanca, Palmier",98,2,2,https://www.avito.ma/fr/palmier/appartements/Appartement_%C3%A0_vendre___2CH___86_m%C2%B2___PALMIER_57786368.htm,Casablanca,Palmier,16938,High
39,Appartement à vendre 76 m² à Marrakech,1500000,"Appartements dans Marrakech, Victor Hugo",76,2,2,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_%C3%A0_vendre_76_m%C2%B2_%C3%A0_Marrakech_57647629.htm,Marrakech,Victor Hugo,19736,High
40,A vendre un bel Appartement refait à neuf,2950000,"Appartements dans Casablanca, Triangle d'Or",200,3,3,https://www.avito.ma/fr/triangle_d_or/appartements/A_vendre_un_bel_Appartement_refait_%C3%A0_neuf_56397805.htm,Casablanca,Triangle d'Or,14750,High
41,Appartement 67 m² à BOUSKOURA prix imbattable,690000,"Appartements dans Casablanca, Autre secteur",67,2,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_67_m%C2%B2_%C3%A0_BOUSKOURA_prix_imbattable_57595127.htm,Casablanca,Autre secteur,10298,Medium
42,"Appt 177 m² avec terrasse, 1er étage Moulay Ismail",2000000,"Appartements dans Tanger, Centre ville",177,3,2,https://www.avito.ma/fr/centre_ville/appartements/Appt_177_m%C2%B2_avec_terrasse__1er_%C3%A9tage_Moulay_Ismail_57805763.htm,Tanger,Centre ville,11299,High
43,APPART 3CH – 118 m² plus 12 m² de parking à Palmier,2260000,"Appartements dans Casablanca, Maarif",118,3,1,https://www.avito.ma/fr/maarif/appartements/APPART_3CH___118_m%C2%B2_plus_12_m%C2%B2_de_parking_%C3%A0_Palmier_57686401.htm,Casablanca,Maarif,19152,High
44,Appartement à vendre Deroua,300000,"Appartements dans Deroua, Toute la ville",52,2,1,https://www.avito.ma/fr/deroua/appartements/Appartement_%C3%A0_vendre_Deroua_57594439.htm,Deroua,Toute la ville,5769,Low
45,Appartement à vendre 117 m² à Kénitra,1300000,"Appartements dans Kénitra, Maamora",119,3,1,https://www.avito.ma/fr/maamora/appartements/Appartement_%C3%A0_vendre_117_m%C2%B2_%C3%A0_K%C3%A9nitra_57692359.htm,Kénitra,Maamora,10924,High
46,Appartement à vendre 97 m² à Casablanca,1260000,"Appartements dans Casablanca, Aïn Borja",97,2,2,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_%C3%A0_vendre_97_m%C2%B2_%C3%A0_Casablanca_57765725.htm,Casablanca,Aïn Borja,12989,High
47,Appartement 76 m² en vente à Route Ain chkef,450000,"Appartements dans Fès, Route Ain Chkaf",76,1,1,https://www.avito.ma/fr/route_ain_chkaf/appartements/Appartement_76_m%C2%B2_en_vente_%C3%A0_Route_Ain_chkef_57834758.htm,Fès,Route Ain Chkaf,5921,Low
48,Appartement 58 m2 avec piscine à gueliz,928000,"Appartements dans Marrakech, Guéliz",58,1,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_58_m2_avec_piscine_%C3%A0_gueliz_32463039.htm,Marrakech,Guéliz,16000,Medium
49,Appartement à vendre 110 m² à Mehdia,2800000,"Appartements dans Mehdia, Toute la ville",121,3,2,https://www.avito.ma/fr/mehdia/appartements/Appartement_%C3%A0_vendre_110_m%C2%B2_%C3%A0_Mehdia_57736264.htm,Mehdia,Toute la ville,23140,High
50,Appartement à vendre à le vallon Kénitra,460000,"Appartements dans Kénitra, Seyad",70,2,1,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_%C3%A0_le_vallon_K%C3%A9nitra_57768112.htm,Kénitra,Seyad,6571,Low
51,Appartement sur plan – bon investissement,1450000,"Appartements dans Casablanca, Route d'El Jadida",57,2,1,https://www.avito.ma/fr/route_d_el_jadida/appartements/Appartement_sur_plan___bon_investissement_57718439.htm,Casablanca,Route d'El Jadida,25438,High
52,Appartement à vendre 80 m² à Kénitra,550000,"Appartements dans Kénitra, Seyad",90,2,2,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_K%C3%A9nitra_57768272.htm,Kénitra,Seyad,6111,Medium
53,Bel appartement sans vis-à-vis le vallon,800000,"Appartements dans Kénitra, Seyad",104,3,2,https://www.avito.ma/fr/seyad/appartements/Bel_appartement_sans_vis_%C3%A0_vis_le_vallon_56170039.htm,Kénitra,Seyad,7692,Medium
54,Appartement en face zone villa,850000,"Appartements dans Kénitra, Seyad",102,3,2,https://www.avito.ma/fr/seyad/appartements/Appartement_en_face_zone_villa_57228910.htm,Kénitra,Seyad,8333,Medium
56,Appartement à vendre 140 m² à Kénitra,710000,"Appartements dans Kénitra, Seyad",140,2,2,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_140_m%C2%B2_%C3%A0_K%C3%A9nitra_57648178.htm,Kénitra,Seyad,5071,Medium
57,"Appartement 250 m² dont 50 de terrasse, Massira",4450000,"Appartements dans Casablanca, Racine",250,3,3,https://www.avito.ma/fr/racine/appartements/Appartement_250_m%C2%B2_dont_50_de_terrasse__Massira_57835299.htm,Casablanca,Racine,17800,High
58,appartement a vendre meuble,600000,"Appartements dans Marrakech, Route de Casablanca",52,2,1,https://www.avito.ma/fr/route_de_casablanca/appartements/appartement_a_vendre_meuble_57699894.htm,Marrakech,Route de Casablanca,11538,Medium
59,Appartement à vendre 43 m² à bourgogne,1300000,"Appartements dans Casablanca, Bourgogne",43,1,1,https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_vendre_43_m%C2%B2_%C3%A0_bourgogne_57526960.htm,Casablanca,Bourgogne,30232,High
60,CMN-SI-1879 - Appartement à vendre à Ziraoui,3480000,"Appartements dans Casablanca, Bourgogne",260,3,2,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1879___Appartement_%C3%A0_vendre_%C3%A0_Ziraoui_57331613.htm,Casablanca,Bourgogne,13384,High
61,Appartement à vendre 70 m² à Kénitra,410000,"Appartements dans Kénitra, Ouled Oujih",70,2,1,https://www.avito.ma/fr/ouled_oujih/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_K%C3%A9nitra_57768085.htm,Kénitra,Ouled Oujih,5857,Low
62,Vente Appartement sans vis à vis,3000000,"Appartements dans Rabat, Hay Riad",133,3,2,https://www.avito.ma/fr/hay_riad/appartements/Vente_Appartement_sans_vis_%C3%A0_vis__57712142.htm,Rabat,Hay Riad,22556,High
63,Appartement à vendre 76 m² à Kénitra,490000,"Appartements dans Kénitra, Seyad",76,2,2,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_76_m%C2%B2_%C3%A0_K%C3%A9nitra_57768271.htm,Kénitra,Seyad,6447,Low
64,Superbe appartement 1 chambre à Californie,1300000,"Appartements dans Casablanca, Californie",146,1,2,https://www.avito.ma/fr/californie/appartements/Superbe_appartement_1_chambre_%C3%A0_Californie_57840505.htm,Casablanca,Californie,8904,High
65,2 Appartements moyen standing à vendre – Benguerir,520000,"Appartements dans Ben Guerir, Toute la ville",92,2,2,https://www.avito.ma/fr/ben_guerir/appartements/2_Appartements_moyen_standing_%C3%A0_vendre___Benguerir_56548870.htm,Ben Guerir,Toute la ville,5652,Medium
66,Appartement à vendre 78 m² à Kénitra,600000,"Appartements dans Kénitra, Seyad",78,2,2,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_K%C3%A9nitra_57768079.htm,Kénitra,Seyad,7692,Medium
67,Appartement à vendre 90 m² à Kénitra alliance,640000,"Appartements dans Kénitra, alliance",90,2,2,https://www.avito.ma/fr/alliance/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_K%C3%A9nitra_alliance_57675448.htm,Kénitra,alliance,7111,Medium
68,Superbe appartement à vendre à Guéliz,610000,"Appartements dans Tanger, Du Golf",56,2,1,https://www.avito.ma/fr/du_golf/appartements/Superbe_appartement_%C3%A0_vendre_%C3%A0_Gu%C3%A9liz_57390077.htm,Tanger,Du Golf,10892,Medium
69,Appartement à vendre 80 m² à Kénitra,580000,"Appartements dans Kénitra, Ouled Oujih",80,2,2,https://www.avito.ma/fr/ouled_oujih/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_K%C3%A9nitra_57737925.htm,Kénitra,Ouled Oujih,7250,Medium
70,GARDEN TADDART L'INVESTISSEMENT GAGNANT,885000,"Appartements dans Casablanca, Bachkou",36,1,2,https://www.avito.ma/fr/bachkou/appartements/GARDEN_TADDART_L_INVESTISSEMENT_GAGNANT_57548503.htm,Casablanca,Bachkou,24583,Medium
71,Appartement à vendre Val d’Or Harhoura,2500000,"Appartements dans Temara, Harhoura",141,2,2,https://www.avito.ma/fr/harhoura/appartements/Appartement_%C3%A0_vendre_Val_d_Or_Harhoura_57840489.htm,Temara,Harhoura,17730,High
72,APPARTEMENT À VENDRE À DIOUR JAMAA CENTRE RABAT,1700000,"Appartements dans Rabat, Diour Jamaa",115,4,1,https://www.avito.ma/fr/diour_jamaa/appartements/APPARTEMENT_%C3%80_VENDRE_%C3%80_DIOUR_JAMAA_CENTRE_RABAT_54636359.htm,Rabat,Diour Jamaa,14782,High
73,Appartement à vendre 80 m² à Kénitra,490000,"Appartements dans Kénitra, Seyad",80,2,2,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_K%C3%A9nitra_57279716.htm,Kénitra,Seyad,6125,Low
74,Appartement à vendre 78 m² à Kénitra,600000,"Appartements dans Kénitra, Seyad",78,2,2,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_K%C3%A9nitra_57614100.htm,Kénitra,Seyad,7692,Medium
75,Appartement à vendre 70 m² à Kénitra,480000,"Appartements dans Kénitra, Seyad",70,2,1,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_K%C3%A9nitra_57737949.htm,Kénitra,Seyad,6857,Low
76,Appartement à vendre 63 m² à Sidi Rahal,480000,"Appartements dans Sidi Rahal, Toute la ville",63,2,1,https://www.avito.ma/fr/sidi_rahal/appartements/Appartement_%C3%A0_vendre_63_m%C2%B2_%C3%A0_Sidi_Rahal_57776726.htm,Sidi Rahal,Toute la ville,7619,Low
77,Appartement de standing à vendre à Marrakech,1500000,"Appartements dans Marrakech, Semlalia",89,2,2,https://www.avito.ma/fr/semlalia/appartements/Appartement_de_standing_%C3%A0_vendre_%C3%A0_Marrakech_57813976.htm,Marrakech,Semlalia,16853,High
78,Studios neufs à vendre,1250000,"Appartements dans Casablanca, Palmier",53,1,1,https://www.avito.ma/fr/palmier/appartements/Studios_neufs_%C3%A0_vendre_57668195.htm,Casablanca,Palmier,23584,High
79,Appartement à vendre 80 m² à le vallon Kénitra,420000,"Appartements dans Kénitra, Seyad",80,2,2,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_le_vallon_K%C3%A9nitra_57727054.htm,Kénitra,Seyad,5250,Low
80,Appartement à vendre 74 m² à Kénitra,530000,"Appartements dans Kénitra, Seyad",74,2,2,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_74_m%C2%B2_%C3%A0_K%C3%A9nitra_57614094.htm,Kénitra,Seyad,7162,Medium
81,Studio de Luxe Meublé à vendre,1100000,"Appartements dans Marrakech, Guéliz",45,1,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Studio_de_Luxe_Meubl%C3%A9_%C3%A0_vendre_57542020.htm,Marrakech,Guéliz,24444,High
82,Appartement Élégant 117m² au Cœur de Maarif,1860000,"Appartements dans Casablanca, Maarif",117,3,2,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%89l%C3%A9gant_117m%C2%B2_au_C_ur_de_Maarif_57834766.htm,Casablanca,Maarif,15897,High
83,Appartement à vendre 80 m² à Kénitra,410000,"Appartements dans Kénitra, Bir Rami",80,2,2,https://www.avito.ma/fr/bir_rami/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_K%C3%A9nitra_57768268.htm,Kénitra,Bir Rami,5125,Low
84,Appartement à vendre 96 m² à Kénitra,670000,"Appartements dans Kénitra, Seyad",96,3,2,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_K%C3%A9nitra_57768265.htm,Kénitra,Seyad,6979,Medium
85,Appartement à vendre 103 m² à Kénitra,750000,"Appartements dans Kénitra, Seyad",103,3,2,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_103_m%C2%B2_%C3%A0_K%C3%A9nitra_57614150.htm,Kénitra,Seyad,7281,Medium
86,Appartement à vendre au quartier 2 Mars,1800000,"Appartements dans Casablanca, 2 Mars",179,2,1,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_au_quartier_2_Mars_57756140.htm,Casablanca,2 Mars,10055,High
87,Appartement Gauthier 51m,750000,"Appartements dans Casablanca, Gauthier",51,1,1,https://www.avito.ma/fr/gauthier/appartements/Appartement_Gauthier_51m_57840431.htm,Casablanca,Gauthier,14705,Medium
88,Appartement neuf 70 m² 5 pièces,640000,"Appartements dans Marrakech, Autre secteur",70,3,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_neuf_70_m%C2%B2_5_pi%C3%A8ces_56246158.htm,Marrakech,Autre secteur,9142,Medium
89,Appartement au centre de Bouznika,540000,"Appartements dans Bouznika, Autre secteur",74,2,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_au_centre_de_Bouznika_57840424.htm,Bouznika,Autre secteur,7297,Medium
90,Appartement moyen standing Abwab-Guillez,450000,"Appartements dans Marrakech, Mabrouka",60,2,1,https://www.avito.ma/fr/mabrouka/appartements/Appartement_moyen_standing_Abwab_Guillez_57081924.htm,Marrakech,Mabrouka,7500,Low
91,Appartement à vendre 140 m² à PRESTIGIA,2800000,"Appartements dans Bouskoura, Ville verte",160,3,3,https://www.avito.ma/fr/ville_verte/appartements/Appartement_%C3%A0_vendre_140_m%C2%B2_%C3%A0_PRESTIGIA_57608848.htm,Bouskoura,Ville verte,17500,High
92,CMN-MA-1866 - Appartement à vendre à Les princesses,1330000,"Appartements dans Casablanca, Les Princesses",106,2,1,https://www.avito.ma/fr/les_princesses/appartements/CMN_MA_1866___Appartement_%C3%A0_vendre_%C3%A0_Les_princesses_55872150.htm,Casablanca,Les Princesses,12547,High
93,Appartement à vendre situé au centre ville,1070000,"Appartements dans Kénitra, Centre",117,3,2,https://www.avito.ma/fr/centre/appartements/Appartement_%C3%A0_vendre_situ%C3%A9_au_centre_ville_57579189.htm,Kénitra,Centre,9145,High
94,Appartement Asdaa proche Marjane,430000,"Appartements dans Marrakech, Es Saada",56,2,1,https://www.avito.ma/fr/es_saada/appartements/Appartement_Asdaa_proche_Marjane_57723521.htm,Marrakech,Es Saada,7678,Low
95,Appartement privé à vendre berradi mhamid 7,470000,"Appartements dans Marrakech, M'Hamid",70,2,2,https://www.avito.ma/fr/m_hamid/appartements/Appartement_priv%C3%A9_%C3%A0_vendre_berradi_mhamid_7_57682408.htm,Marrakech,M'Hamid,6714,Low
96,appartement 123m à Bouznika,780000,"Appartements dans Bouznika, Autre secteur",123,3,2,https://www.avito.ma/fr/autre_secteur/appartements/appartement_123m_%C3%A0_Bouznika_57840407.htm,Bouznika,Autre secteur,6341,Medium
97,Appartement à vendre 71 m² à ALMAZ,830000,"Appartements dans Casablanca, Almaz",71,2,1,https://www.avito.ma/fr/almaz/appartements/Appartement_%C3%A0_vendre_71_m%C2%B2_%C3%A0_ALMAZ_57442813.htm,Casablanca,Almaz,11690,Medium
98,Appartement meublé neuf sur corniche Martil,1500000,"Appartements dans Martil, Toute la ville",150,3,1,https://www.avito.ma/fr/martil/appartements/Appartement_meubl%C3%A9_neuf_sur_corniche_Martil_57833371.htm,Martil,Toute la ville,10000,High
99,Appartement à vendre,320000,"Appartements dans Meknès, Wislane",75,3,1,https://www.avito.ma/fr/wislane/appartements/Appartement_%C3%A0_vendre_57748733.htm,Meknès,Wislane,4266,Low
100,Appartement à vendre 83 m² à Marrakech,1550000,"Appartements dans Marrakech, Guéliz",83,2,2,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_83_m%C2%B2_%C3%A0_Marrakech_57840368.htm,Marrakech,Guéliz,18674,High
101,Appartement à vendre avec piscine,1500000,"Appartements dans Marrakech, Route de Casablanca",73,2,1,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_avec_piscine_57735538.htm,Marrakech,Route de Casablanca,20547,High
